team_name,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_rating,team_region,team_seed,team_slot
Houston,100.00%,97.39%,76.20%,61.66%,43.71%,33.86%,24.92%,93.84,Midwest,1,96
Alabama,100.00%,98.52%,81.12%,64.02%,43.68%,28.93%,14.65%,92.24,South,1,0
Texas,100.00%,92.16%,63.82%,44.72%,21.02%,13.30%,7.96%,90.07,Midwest,2,124
Purdue,100.00%,98.52%,71.81%,42.24%,26.36%,12.75%,5.47%,89.6,East,1,32
Kansas,100.00%,97.82%,65.63%,38.99%,20.27%,8.75%,4.81%,89.61,West,1,64
Gonzaga,100.00%,91.59%,63.50%,37.53%,21.80%,8.60%,4.40%,89.9,West,3,84
Arizona,100.00%,94.10%,67.69%,35.14%,14.94%,8.52%,3.61%,88.98,South,2,28
UCLA,100.00%,95.46%,69.49%,37.21%,20.75%,7.17%,3.29%,88.26,West,2,92
Connecticut,100.00%,84.72%,64.89%,31.63%,14.94%,5.88%,3.00%,89.23,West,4,76
Marquette,100.00%,88.95%,58.43%,34.15%,16.24%,6.89%,2.61%,87.59,East,2,60
Baylor,100.00%,88.90%,45.15%,24.14%,9.79%,5.74%,2.51%,87.12,South,3,20
Creighton,100.00%,78.46%,45.72%,26.02%,11.33%,6.12%,2.44%,87.54,South,6,16
Duke,100.00%,81.95%,45.80%,22.77%,13.28%,5.54%,2.07%,87.13,East,5,40
Tennessee,100.00%,86.75%,46.38%,21.65%,12.04%,5.10%,1.93%,86.87,East,4,44
Kentucky,100.00%,66.52%,44.72%,23.31%,10.40%,4.14%,1.48%,86.03,East,6,48
Texas A&M,100.00%,62.52%,23.52%,13.65%,4.94%,2.66%,1.37%,85.51,Midwest,7,120
Indiana,100.00%,73.71%,46.97%,13.92%,6.79%,3.06%,1.33%,85.8,Midwest,4,108
Texas Christian,100.00%,67.91%,26.07%,11.61%,5.17%,1.96%,0.97%,85.42,West,6,80
San Diego State,100.00%,67.09%,38.72%,10.67%,4.84%,2.38%,0.85%,86.07,South,5,8
Iowa State,100.00%,57.73%,31.21%,13.11%,4.77%,2.00%,0.82%,84.54,Midwest,6,112
Xavier,100.00%,87.41%,46.07%,16.28%,5.02%,1.98%,0.76%,84.35,Midwest,3,116
Auburn,100.00%,57.92%,14.62%,8.28%,3.77%,1.71%,0.75%,84.86,Midwest,9,102
Kansas State,100.00%,85.17%,34.86%,14.90%,5.42%,2.01%,0.67%,84.46,East,3,52
Saint Mary's (CA),100.00%,59.67%,18.32%,9.30%,4.56%,1.49%,0.65%,85.87,West,5,72
Arkansas,100.00%,51.63%,17.95%,8.62%,3.59%,1.31%,0.63%,85.12,West,8,68
Virginia,100.00%,72.17%,37.46%,10.21%,4.59%,1.99%,0.63%,83.81,South,4,12
Michigan State,100.00%,63.62%,26.92%,12.95%,4.97%,1.67%,0.51%,83.82,East,7,56
Memphis,100.00%,61.09%,18.80%,8.16%,3.95%,1.49%,0.51%,84.18,East,8,36
Iowa,100.00%,42.08%,8.85%,5.39%,2.67%,1.16%,0.49%,84.47,Midwest,8,100
Illinois,100.00%,48.37%,16.27%,7.27%,2.81%,0.93%,0.41%,84.54,West,9,70
Maryland,100.00%,50.75%,9.59%,5.71%,2.72%,1.22%,0.40%,84.48,South,8,4
West Virginia,100.00%,49.25%,9.14%,5.46%,2.62%,1.15%,0.37%,84.14,South,9,6
Miami (FL),100.00%,59.52%,26.50%,5.72%,2.22%,0.89%,0.35%,83.6,Midwest,5,104
Utah State,100.00%,64.13%,22.05%,7.91%,2.34%,0.98%,0.30%,83.49,South,10,26
Providence,100.00%,33.48%,18.33%,8.72%,3.54%,1.03%,0.28%,82.78,East,11,50
Boise State,100.00%,58.80%,18.84%,6.61%,2.55%,0.62%,0.21%,82.62,West,10,90
Mississippi State,56.66%,25.37%,12.79%,4.34%,1.29%,0.53%,0.21%,81.84,Midwest,11a,114
Penn State,100.00%,37.48%,10.96%,5.19%,1.46%,0.54%,0.20%,82.66,Midwest,10,122
Florida Atlantic,100.00%,38.91%,9.30%,3.55%,1.55%,0.53%,0.16%,82.56,East,9,38
Southern California,100.00%,36.38%,11.88%,4.84%,1.56%,0.53%,0.16%,83.05,East,10,58
Drake,100.00%,40.48%,15.13%,3.29%,1.28%,0.43%,0.14%,81.17,Midwest,12,106
Northwestern,100.00%,41.20%,10.96%,3.39%,1.17%,0.32%,0.12%,82.24,West,7,88
Missouri,100.00%,35.87%,9.13%,3.32%,1.00%,0.40%,0.12%,81.39,South,7,24
North Carolina State,100.00%,21.54%,7.34%,2.98%,0.90%,0.34%,0.09%,81.44,South,11,18
Virginia Commonwealth,100.00%,40.33%,10.03%,2.72%,0.76%,0.19%,0.07%,81.35,West,12,74
Arizona State,54.43%,18.30%,5.03%,1.92%,0.74%,0.18%,0.06%,80.36,West,11a,82
College of Charleston,100.00%,32.91%,14.46%,2.46%,0.78%,0.25%,0.06%,79.76,South,12,10
Pittsburgh,43.34%,16.89%,7.66%,2.03%,0.48%,0.15%,0.05%,79.64,Midwest,11b,115
Kent State,100.00%,26.29%,11.40%,1.69%,0.49%,0.14%,0.04%,79.37,Midwest,13,110
Nevada,45.57%,13.79%,3.45%,1.23%,0.45%,0.10%,0.03%,79.6,West,11b,83
Oral Roberts,100.00%,18.05%,5.10%,1.18%,0.38%,0.11%,0.03%,79.18,East,12,42
Furman,100.00%,27.83%,9.36%,1.44%,0.42%,0.12%,0.02%,78.22,South,13,14
Iona,100.00%,15.28%,6.76%,1.46%,0.33%,0.07%,0.02%,79.58,West,13,78
Louisiana-Lafayette,100.00%,13.25%,2.73%,0.44%,0.11%,0.02%,0.01%,76.36,East,13,46
Vermont,100.00%,11.05%,2.77%,0.76%,0.17%,0.03%,0.00%,76.24,East,15,62
Grand Canyon,100.00%,8.41%,1.96%,0.42%,0.10%,0.01%,0.00%,75.91,West,14,86
Colgate,100.00%,7.84%,1.70%,0.42%,0.06%,0.01%,0.00%,76.17,Midwest,15,126
Montana State,100.00%,14.83%,2.10%,0.36%,0.05%,0.01%,0.00%,75.32,East,14,54
UC-Santa Barbara,100.00%,11.10%,1.79%,0.30%,0.04%,0.01%,0.00%,75.51,South,14,22
Princeton,100.00%,5.90%,1.13%,0.19%,0.03%,0.01%,0.00%,74.83,South,15,30
Kennesaw State,100.00%,12.59%,2.27%,0.24%,0.02%,0.00%,0.00%,73.28,Midwest,14,118
Northern Kentucky,100.00%,2.61%,0.33%,0.06%,0.01%,0.00%,0.00%,72.87,Midwest,16,98
North Carolina-Asheville,100.00%,4.54%,0.72%,0.07%,0.01%,0.00%,0.00%,73.02,West,15,94
Texas A&M-Corpus Christi,54.18%,0.87%,0.09%,0.01%,0.00%,0.00%,0.00%,69.92,South,16a,2
Southeast Missouri State,45.82%,0.60%,0.05%,0.01%,0.00%,0.00%,0.00%,67.7,South,16b,3
Howard,100.00%,2.18%,0.14%,0.01%,0.00%,0.00%,0.00%,69.29,West,16,66
Texas Southern,56.82%,0.91%,0.06%,0.00%,0.00%,0.00%,0.00%,66.56,East,16a,34
Fairleigh Dickinson,43.18%,0.57%,0.03%,0.00%,0.00%,0.00%,0.00%,64.39,East,16b,35